,F,L,E,I,delta,theta
410,2414.0786,9.8597975,121.590546,9538.094,66.50782,0.57972044
411,4978.413,8.0500555,142.16428,5783.441,105.29058,1.1240989
412,3516.2349,6.4066777,192.45506,11655.658,13.740074,0.18431899
413,2925.7522,6.612546,152.06595,10397.521,17.834484,0.23179592
414,4092.8303,6.7773294,114.63909,6774.116,54.68811,0.6935028
415,2170.1467,9.18713,133.28836,6066.344,69.372635,0.6489664
416,2732.7617,10.416426,136.42773,8606.475,87.68165,0.72344226
417,4063.4016,10.480632,140.35356,7800.355,142.42723,1.1679373
418,2225.506,7.8116126,154.78503,7666.1924,29.800316,0.3278643
419,4247.6045,7.04786,196.24149,5580.7573,45.259598,0.5519088
420,3626.0828,7.390413,152.67702,6632.884,48.177746,0.5602627
421,2249.289,6.7922015,119.128,13234.902,14.901195,0.18854909
422,2011.3517,7.855446,152.56271,7286.767,29.234522,0.31984463
423,3974.076,6.2421446,173.97437,11331.661,16.343218,0.22501817
424,4209.0024,9.836244,174.802,9806.482,77.890785,0.6805667
425,3200.1406,6.1470118,104.30307,8885.779,26.732979,0.37376377
426,2173.617,6.9448633,141.05289,10972.164,15.681173,0.19405675
427,2635.4805,10.177751,112.84277,12888.492,63.682213,0.5377497
428,3659.4253,6.629977,128.66573,10902.194,25.342585,0.32851315
429,3554.5715,9.097662,168.01468,9987.824,53.166405,0.5022516
430,3883.9653,10.372559,114.49349,13152.757,95.9432,0.7949543
431,3765.2302,10.964285,168.58633,9872.367,99.3957,0.77911425
432,3421.3755,9.764975,192.4389,10489.115,52.609127,0.46302444
433,4291.59,7.8290854,153.27942,13887.581,32.24925,0.35401568
434,4955.0205,9.928589,116.67561,6242.281,221.95421,1.9212759
435,4749.2207,8.417493,132.08575,12769.19,55.97963,0.5715591
436,4863.0137,7.72915,160.91821,7338.284,63.384003,0.70479345
437,2993.745,8.508142,111.8841,9268.873,59.265583,0.59866196
438,2988.0278,9.060773,174.84052,6895.718,61.452217,0.58288944
439,3334.0981,10.1763,104.60652,12469.261,89.78988,0.7583179
440,3943.3384,9.54941,101.93533,5880.6455,190.95132,1.7185414
441,4107.168,9.693726,101.41697,7506.37,163.81467,1.4523655
442,3366.296,8.873994,139.85684,10277.515,54.55274,0.52833736
443,2531.1106,8.374171,183.62164,7777.78,34.692528,0.35604748
444,2368.25,9.549742,102.67605,9983.544,67.06985,0.60360044
445,4944.078,9.101306,191.55936,13632.081,47.57839,0.44928285
446,3096.7163,6.1077743,129.99886,5519.7783,32.776905,0.4612101
447,3297.2468,8.904188,164.6442,6576.052,71.664085,0.6917053
448,2580.7097,7.3897705,152.28015,6000.6978,37.989685,0.4418233
449,2756.3604,7.1742554,104.91405,13803.119,23.427954,0.2806541
450,3829.4595,9.4668255,191.46646,10592.139,53.40144,0.48479986
451,4131.78,9.011222,176.92218,6248.6963,91.15809,0.86941165
452,2907.0146,8.923359,199.69978,5586.3926,61.716606,0.59441197
453,2947.8916,7.314041,175.26062,12835.164,17.091364,0.20083211
454,4688.239,9.655186,116.99655,13632.605,88.18982,0.78500366
455,2727.475,10.846079,191.72919,6776.9683,89.27587,0.70741665
456,2380.8728,8.805843,152.68723,10651.729,33.32,0.32519805
457,3265.9766,9.527566,173.71082,8382.834,64.65766,0.5832462
458,4927.3164,6.3066797,109.90855,12168.922,30.804058,0.41977933
459,3826.3833,9.9862385,135.61868,6981.9136,134.14641,1.1544921
460,3707.2598,9.36847,100.90612,12573.307,80.08861,0.7347101
461,3313.2314,9.62632,130.52538,13993.112,53.9389,0.48156586
462,4437.333,9.542531,160.78656,12225.303,65.385605,0.58888763
463,2756.5237,7.8424387,110.74191,8730.068,45.842068,0.5023738
464,4517.0166,8.349937,165.9382,10088.537,52.36071,0.53893477
465,3854.3662,10.918169,176.84033,11441.662,82.64388,0.6505411
466,3666.775,10.32934,156.96547,6905.632,124.271965,1.0339856
467,3706.4995,6.708029,116.54583,7403.578,43.22042,0.5537427
468,2574.912,10.483559,111.23402,5097.9746,174.39421,1.4296745
469,4614.06,10.988079,134.57417,12678.504,119.590744,0.9353835
470,4287.8115,8.828778,171.9479,7409.125,77.20625,0.75156355
471,2326.8237,6.549545,199.31982,13366.398,8.179197,0.1073281
472,2103.3774,8.984602,178.75145,8617.374,33.011703,0.31577882
473,3113.8564,7.995098,144.36954,7837.371,46.88163,0.5039562
474,4496.5283,10.297467,167.53082,11791.139,82.85084,0.6914811
475,2761.5024,6.0980396,100.94685,9062.271,22.817345,0.32157975
476,4890.2554,9.139759,107.29494,6449.256,179.85631,1.6912383
477,2745.8364,8.470678,173.3304,9983.371,32.148148,0.32617575
478,2145.0464,8.696807,121.679245,7404.6357,52.200512,0.5158563
479,4159.831,10.21973,174.05478,6243.4453,136.1954,1.1453465
480,2593.484,8.545162,114.70339,6660.718,70.603455,0.7101
481,3263.5425,6.487298,125.23445,11061.826,21.439217,0.28402656
482,3032.144,7.0416565,108.81555,9878.734,32.82924,0.40068203
483,3380.811,7.49899,176.09204,7676.162,35.157993,0.4029352
484,2192.9404,8.766626,144.90524,11106.298,30.60199,0.30000678
485,2124.198,9.46475,188.48006,8091.3496,39.365417,0.35745353
486,4144.8154,8.033358,180.9436,6026.8516,65.681274,0.7026811
487,3330.0269,7.5133047,177.66713,11045.449,23.989933,0.2744176
488,2595.1543,9.597015,151.6078,7967.616,63.299538,0.5668631
489,3461.788,6.06923,134.5411,8166.5522,23.47936,0.3324808
490,2130.9014,10.246953,139.12842,12734.58,43.134605,0.36178035
491,3898.1636,8.209382,156.64503,12863.564,35.677322,0.37350437
492,4212.3545,10.239573,174.78548,5095.4404,169.26303,1.4206729
493,4954.7246,10.389034,114.970505,13359.428,120.572845,0.9974433
494,2277.9905,8.767067,191.9639,13524.316,19.708736,0.19320498
495,3318.1143,9.290818,144.56349,6254.9814,98.09511,0.9074177
496,4314.0425,7.0859838,108.10272,5013.472,94.40356,1.1449913
497,4874.6914,10.29121,122.94711,5987.149,240.5951,2.0092514
498,2432.792,9.963238,194.24088,8305.322,49.715073,0.42884612
499,4137.4434,8.107353,195.72635,9297.678,40.38539,0.4281137
500,4119.296,9.474443,103.68602,10740.217,104.86475,0.9512391
501,4404.306,8.359967,185.26492,10573.252,43.78931,0.45017096
502,2465.8757,10.453225,175.05795,10371.816,51.708763,0.42513585
503,4570.425,9.529112,179.59592,5986.9194,122.600624,1.1057429
504,2846.6545,10.322618,192.32646,13831.18,39.236,0.32666966
505,2576.6768,6.2275524,123.05248,13376.409,12.602623,0.17392318
506,3797.8357,10.935817,165.78879,11692.426,85.41,0.6712301
507,4770.71,9.431454,170.46167,10482.867,74.660484,0.68034005
508,2506.6677,9.715455,135.22533,6987.206,81.09674,0.717388
509,4300.8623,9.057074,166.73267,9828.85,64.9942,0.6167378
510,3328.2114,10.141968,135.61433,6288.648,135.70425,1.1499664
511,3978.856,10.853554,180.91307,13636.102,68.73732,0.54429525
512,4670.1055,8.287024,136.12727,5503.5293,118.25369,1.226394
513,3907.2803,6.4486995,131.36021,13329.978,19.946947,0.2658387
514,2254.7654,10.795658,162.58745,13736.677,42.340775,0.33707267
515,3048.3862,7.972771,167.73468,7321.495,41.932816,0.45202094
516,3797.7158,7.2943096,125.57142,5484.581,71.33777,0.84052217
517,2234.6145,10.038964,154.41992,11087.531,44.015934,0.37682077
518,3749.3745,9.895197,178.97678,6046.2197,111.90007,0.9718959
519,2694.5466,8.834705,145.02516,5348.142,79.85358,0.77681243
520,3201.8342,8.343069,165.2167,6788.9224,55.258663,0.5692308
521,4036.6113,8.021748,137.94064,12681.128,39.70567,0.42539996
522,2292.7705,10.792274,167.52498,6679.4863,85.85304,0.6836858
523,2536.9785,10.023212,113.78029,7699.0273,97.21056,0.83352834
524,4184.1562,9.98884,120.59856,7675.005,150.17966,1.2921411
525,2016.4391,10.094195,124.620476,12698.304,43.686157,0.37195125
526,4532.282,7.1916018,195.95055,11243.631,25.504658,0.30479494
527,2343.3813,9.021988,136.54579,12079.396,34.778023,0.33129624
528,3475.8472,6.337276,149.86348,8659.325,22.72309,0.3081617
529,3807.9258,9.952448,125.77522,6839.167,145.46503,1.2561532
530,4091.8887,6.021981,199.9145,11121.844,13.396753,0.19119391
531,2568.9985,6.0014896,198.8335,11315.588,8.22722,0.11781699
532,3701.8594,6.0287952,112.290665,13224.668,18.207981,0.2595644
533,4145.881,10.041669,109.46651,5283.3623,241.94777,2.0707588
534,4786.5645,8.760175,112.10035,6198.015,154.37657,1.514546
535,2371.1758,8.505685,149.75887,12452.387,26.081055,0.26352984
536,2754.242,8.897636,137.2548,10663.998,44.1832,0.42677248
537,3936.9744,7.553872,117.27272,12487.533,38.62572,0.43946153
538,3451.846,7.740842,132.06639,8362.074,48.32684,0.5365548
539,2487.7593,6.81602,159.44655,13987.061,11.774382,0.14846398
540,2237.524,7.8894577,123.875465,11258.643,26.261316,0.2860772
541,2168.106,6.9616585,161.07913,7758.2256,19.511726,0.24087785
542,2450.3777,8.565777,138.53421,7326.036,50.580833,0.50749654
543,2861.3472,10.464266,125.771835,10682.281,81.3445,0.6680874
544,2458.401,6.4332695,156.86928,9389.182,14.813613,0.19789879
545,2184.1294,9.729428,191.11292,7319.037,47.93747,0.4234495
546,3617.0884,6.640505,116.19604,7087.9775,42.86744,0.5548049
547,4379.6846,7.4641905,152.32172,11016.245,36.180473,0.41658673
548,2792.7695,8.988861,131.56161,11721.316,43.84522,0.41920984
549,3649.9966,8.930168,199.0653,13785.785,31.573526,0.30386263
550,3481.5085,10.55019,102.56184,7601.044,174.81073,1.424038
551,4201.15,8.499065,102.06694,6843.332,123.085754,1.2446593
552,2459.7397,7.5478287,199.26926,6663.1245,26.553133,0.30234838
553,3571.2148,7.466079,118.3655,6451.6465,64.87491,0.74678934
554,4900.093,8.573295,159.58617,13945.16,46.249554,0.4636323
555,4570.878,6.625428,145.6847,7299.2925,41.670197,0.54053706
556,2013.3248,6.539854,139.46715,7383.17,18.229805,0.23956746
557,3274.1907,7.4303417,138.83261,12801.396,25.19186,0.29138368
558,3513.9824,8.56422,181.77203,13078.482,30.949768,0.31058714
559,3004.7058,6.8116474,152.38985,5381.634,38.598198,0.4869998
560,2514.521,7.072917,101.319275,9003.966,32.509014,0.39502
561,2456.2605,10.284988,120.481995,10852.22,68.12772,0.56929046
562,4496.701,10.810297,132.95499,10188.191,139.7925,1.1113738
563,3014.3804,7.716912,175.16083,6941.6494,37.975872,0.4229394
564,3403.4688,6.355156,117.64331,5873.665,42.140793,0.5698891
565,3940.1462,7.542866,197.14598,6252.879,45.722755,0.5209666
566,2579.3147,9.509006,138.86353,10998.924,48.400513,0.43745038
567,3633.6978,9.311362,141.0219,7404.954,93.639336,0.864289
568,4392.2188,7.725001,189.1779,5408.2627,65.96752,0.7339145
569,2622.9678,6.2982016,175.13039,13936.552,8.949618,0.12212425
570,3936.406,7.74828,192.406,11562.027,27.437336,0.304334
571,3448.7659,7.9410133,178.92221,8157.4473,39.44134,0.42686412
572,4324.754,9.939657,134.8323,10218.07,102.75229,0.888452
573,4496.72,7.260325,116.82638,7900.8223,62.148346,0.73567736
574,3897.9585,10.000412,146.27985,6533.5435,135.96788,1.1685098
575,3545.3237,8.846796,191.38187,5342.3677,80.03098,0.77747416
576,2208.754,8.081004,133.21901,12433.363,23.45672,0.24946854
577,4097.2314,6.27205,103.6315,5344.4224,60.84224,0.83369964
578,4414.499,10.968168,170.49643,6105.7705,186.51198,1.4614586
579,2955.162,8.054208,198.67357,13254.986,19.543808,0.20854524
580,2010.5862,10.072996,135.76584,6665.951,75.6876,0.6457731
581,4715.5474,7.206829,108.59882,7989.13,67.81393,0.8087021
582,3147.9077,6.065423,104.64702,9520.781,23.500906,0.3329948
583,3800.1084,6.507245,162.52997,5056.164,42.47287,0.5609554
584,3078.3374,7.2187867,146.21402,5414.1943,48.760117,0.5805163
585,4456.5938,7.70383,124.75064,5849.8105,93.07162,1.0383037
586,4962.919,8.146967,160.1066,8821.6455,63.335175,0.66813296
587,4440.258,10.585035,168.98795,7871.3813,131.96454,1.0714669
588,3022.6343,6.1943536,189.76595,12842.041,9.826526,0.13633831
589,4551.1846,9.747791,188.8191,12394.706,60.039864,0.52935535
590,4231.8975,10.603571,142.51581,13878.077,85.031136,0.6891911
591,3646.3433,8.51609,105.911644,5606.161,126.42934,1.2759141
592,2291.7788,6.9408946,104.81885,7355.8584,33.130276,0.4102263
593,2855.9102,8.579961,196.68448,12565.453,24.329376,0.24370225
594,2015.9199,9.093098,172.10275,11059.992,26.542692,0.250869
595,4503.2505,9.606152,171.79536,6568.708,117.913,1.054936
596,4982.7363,7.740077,106.73895,12873.885,56.046684,0.6223269
597,4373.771,7.6420717,196.30078,7201.666,46.027046,0.51762575
598,3979.279,7.320573,197.36716,13772.918,19.14333,0.22474308
599,3854.5122,6.0819645,195.143,5908.4106,25.070103,0.35426328
600,4943.9644,9.378022,107.82075,11832.48,106.539276,0.9763653
601,2739.5315,6.609963,131.13383,9244.178,21.7555,0.2828681
602,2996.4119,7.298996,115.61181,5604.9053,59.93757,0.7057484
603,2153.1824,8.474274,197.34828,11828.416,18.711437,0.18976605
604,3351.4646,10.42726,128.516,7848.453,125.56909,1.0349668
605,3602.8933,10.722839,127.17227,9578.309,121.55653,0.97427684
606,3910.61,6.6815996,176.19565,8126.1533,27.157164,0.3493155
607,2456.4736,10.668218,126.870384,8494.069,92.255104,0.7432115
608,3326.421,10.739452,125.37389,8348.292,131.21928,1.050097
609,2263.9985,10.51959,145.62643,11520.219,52.366123,0.42782438
610,2279.8403,8.717655,145.19403,9136.549,37.953457,0.37416703
611,3695.5156,10.507865,111.05108,12574.592,102.348274,0.837105
612,2035.7716,9.714664,191.68341,11317.736,28.677883,0.25370744
613,3899.4172,6.706101,127.94392,9473.416,32.34167,0.41448253
614,2118.2021,7.1823072,167.73575,11304.091,13.79675,0.16509224
615,2456.2612,8.547016,193.48918,7986.2256,33.082523,0.33265802
616,3188.7559,6.728301,175.21582,6032.3228,30.630798,0.39126128
617,2068.5781,7.676795,157.079,6535.876,30.385653,0.3401751
618,4711.448,10.515604,192.54285,6418.456,147.76714,1.2076956
619,4729.034,9.663949,156.72131,5867.36,154.71922,1.3759528
620,2716.5066,10.677198,126.86717,10220.012,85.0082,0.68425405
621,3814.2202,8.519165,197.29997,9099.604,43.785072,0.4417158
622,4267.3623,7.225248,161.83403,5453.647,60.791054,0.723104
623,3976.6597,10.154619,101.21596,11834.998,115.86998,0.98066604
624,3299.0664,8.684305,135.76543,12288.567,43.170254,0.42723167
625,2085.183,8.921009,115.94163,13322.655,31.94734,0.30777586
626,4590.708,7.440755,193.83765,9684.527,33.58094,0.3878732
627,2184.3547,9.526927,141.7427,9170.541,48.435604,0.436944
628,3222.2004,6.6536345,104.42375,12146.754,24.942995,0.3221837
629,3593.0474,10.494942,146.85684,5597.5376,168.41881,1.379191
630,3005.987,10.687107,181.40063,9778.18,68.952415,0.5545021
631,2951.368,9.402056,162.99002,12444.678,40.31122,0.3684826
632,2203.5942,10.4468155,165.81021,12614.252,40.039566,0.32939675
633,3582.649,10.01742,154.64366,10030.254,77.39387,0.6639946
634,3329.6824,7.5452065,168.64093,9126.818,30.975086,0.35282165
635,4807.7036,6.3316665,137.8174,11107.988,26.57242,0.36068407
636,3006.1685,8.828976,130.10999,10456.613,50.689888,0.49342924
637,4659.3726,10.069691,103.26458,9348.912,164.26389,1.4019737
638,3571.01,8.2442465,112.33315,13064.403,45.449085,0.47379237
639,2826.0767,8.710353,171.67014,13341.352,27.18162,0.2681967
640,3143.272,10.352983,120.39433,6943.626,139.08006,1.1545513
641,3329.7783,9.532231,157.17332,13549.794,45.140495,0.40699175
642,3515.5374,10.368975,165.95956,8325.227,94.553925,0.783714
643,3252.871,8.867093,153.54019,10468.131,47.032513,0.4558593
644,3945.1597,8.780237,117.58251,13507.868,56.04445,0.5485803
645,4735.2744,7.902006,197.81642,7373.586,53.394302,0.58072627
646,3735.7754,8.078129,120.925026,11600.42,46.795265,0.49785745
647,4043.3193,7.171336,191.12503,8886.446,29.266537,0.35073987
648,4426.2803,10.171442,110.22459,6953.559,202.57213,1.7116343
649,3823.3276,10.780123,137.97258,9226.037,125.42479,0.99993914
650,4191.456,9.427788,177.19844,13346.694,49.503895,0.45127732
651,4286.826,8.571034,129.57097,12011.213,57.812233,0.5796961
652,4904.0195,7.6747375,192.00214,7172.871,53.65651,0.6008593
653,2131.0193,6.0316706,115.59218,13573.3,9.934936,0.14156026
654,4013.287,8.0370865,108.01143,10415.471,61.73426,0.6601483
655,3432.0327,6.7252345,127.45404,13340.93,20.465048,0.26152864
656,3230.6145,6.6543446,158.08252,13780.2705,14.5659275,0.18812509
657,2921.687,8.004959,196.0378,8189.9053,31.115091,0.33406106
658,4401.801,8.008198,126.12996,13092.619,45.63192,0.48971996
659,4872.181,9.004314,167.88141,8832.967,79.95487,0.7631469
660,2275.8652,6.687951,137.46465,10210.355,16.168612,0.20777509
661,4310.42,10.296646,139.15689,9646.393,116.84658,0.97529066
662,4534.324,6.223871,186.76517,9561.94,20.404745,0.28176335
663,3762.161,7.316017,111.2507,9150.83,48.236633,0.56665164
664,3517.6697,7.5508704,155.31067,5375.3345,60.46695,0.68823206
665,4654.289,8.654133,197.02046,9891.536,51.59738,0.51241046
666,3544.4727,9.533452,143.1294,13629.173,52.47864,0.47309276
667,3125.8635,7.8411703,188.8219,10975.98,24.237944,0.26566157
668,3389.2332,8.890172,134.60216,5342.0063,110.396225,1.0672299
669,3981.2524,7.908162,190.24811,10340.078,33.36422,0.3625929
670,3875.5088,7.5167246,101.633484,8771.085,61.546494,0.70370156
671,3419.0703,8.150308,142.79382,10826.482,39.91278,0.42087382
672,3973.5,9.003355,141.21768,5367.4,127.52991,1.2173672
673,3903.981,6.0716224,166.20425,10252.254,17.093822,0.24196266
674,2284.9116,6.759892,169.61636,6283.952,22.073277,0.28063443
675,3873.7651,10.453128,188.39084,10140.301,77.20408,0.6347575
676,4417.7666,9.630463,142.5507,12208.422,75.57776,0.674467
677,3672.0227,8.433156,148.01724,12650.381,39.204735,0.39954188
678,3363.085,8.578951,184.24057,8756.331,43.874447,0.43953288
679,4649.047,8.845087,136.47134,13497.369,58.218155,0.5656792
680,2189.4783,9.081056,193.83168,9235.3125,30.531773,0.28895456
681,2815.3452,6.7931542,116.7094,6910.0547,36.47855,0.46150878
682,2822.014,7.818531,144.58951,11603.32,26.797504,0.2945663
683,4796.078,6.20556,147.31445,9694.899,26.749723,0.37046927
684,2049.1675,6.5345354,172.31049,5949.5664,18.591024,0.24451329
685,3648.7666,8.029612,184.1838,12361.139,27.656582,0.29601783
686,2046.9664,8.169908,142.07481,13836.744,18.927355,0.19910705
687,3450.6743,10.455365,108.57597,11964.076,101.20161,0.8318827
688,4059.1062,8.9306135,174.77461,8783.4375,62.778385,0.6041472
689,3149.2183,8.094636,164.95659,5724.6313,58.959843,0.62599784
690,4956.103,8.430738,170.08496,13355.224,43.581165,0.44427013
691,3504.775,9.896231,119.15662,7103.3555,133.77243,1.1617447
692,2735.255,7.742688,182.17978,10177.828,22.824255,0.2533487
693,3886.7988,8.03264,197.35776,5428.3203,62.67959,0.670628
694,4280.0957,7.9984827,154.33856,12275.975,38.532276,0.41402912
695,3497.02,6.484068,103.29758,10403.441,29.570074,0.3919392
696,4783.211,8.150593,185.09949,13783.908,33.83672,0.3567902
697,2550.626,6.1888957,112.92744,11683.797,15.275011,0.21212031
698,4140.0176,7.1562037,161.4936,5202.3027,60.19744,0.72295153
699,4351.7534,6.9087152,157.26588,13055.965,23.29654,0.28980643
700,4245.037,10.362314,126.598175,5863.516,212.10208,1.7591467
701,3499.4497,6.1970396,167.40977,7349.2637,22.563513,0.31292215
702,3928.1963,10.90883,105.278366,11823.443,136.55994,1.075868
703,2323.233,9.437368,161.38797,7050.8813,57.201786,0.5209218
704,2322.8665,6.810517,118.30245,10679.994,19.3588,0.24429367
705,3406.7651,10.571224,144.59332,9963.481,93.11881,0.75705254
706,3312.0005,7.949101,156.43144,9818.781,36.10285,0.3903349
707,4613.7886,6.3825374,192.59723,7055.8594,29.425005,0.39622065
708,4589.1904,8.15282,126.14398,12649.35,51.952156,0.54765826
709,4517.0713,9.735525,182.0318,10146.848,75.22037,0.6640334
710,2812.9507,6.069278,143.64832,11170.711,13.063831,0.18498968
711,2322.4443,8.3126545,126.25361,10023.97,35.1366,0.36327365
712,2093.0017,9.517208,106.460014,7261.379,77.79854,0.70254755
713,4042.8662,7.5256867,104.124084,7808.6055,70.645065,0.8067696
714,2148.3765,8.7276945,198.83054,12495.455,19.16252,0.18869784
715,2002.6123,7.520193,137.53003,5568.8267,37.068188,0.42362958
716,2741.9297,6.8227553,152.49744,7944.7227,23.959246,0.30180556
717,2233.5442,10.457851,163.55562,5380.7583,96.75907,0.7951758
718,2908.8682,6.7248807,183.9866,6809.744,23.536375,0.30079377
719,2555.6802,8.470691,192.6737,10104.742,26.594633,0.2698293
720,2730.448,9.332649,190.55086,8474.84,45.812614,0.42188498
721,4926.0864,7.10288,112.95584,10999.57,47.3587,0.5730324
722,3217.3298,9.707104,141.98917,12928.885,53.435154,0.47309816
723,4744.3076,6.423853,120.41312,10446.518,33.326756,0.44587317
724,3533.2812,10.887628,121.43241,13773.803,90.87999,0.7173794
725,3307.1094,9.613398,161.86035,9488.111,63.773132,0.57013106
726,3060.8267,8.146065,196.9324,13841.36,20.233225,0.2134672
727,2427.7593,6.4204016,109.9448,10226.01,19.049784,0.25500092
728,2294.8281,8.577097,180.26022,9384.498,28.53244,0.28589883
729,4538.633,9.386773,124.07666,10757.705,93.743904,0.8583029
730,3037.7607,7.142226,140.26129,5951.8994,44.191597,0.5317652
731,2037.5305,8.18516,189.68854,13169.602,14.909072,0.15654434
732,4876.5947,6.0085588,138.69148,13617.454,18.670704,0.26705715
733,3527.8242,6.000743,154.5528,5542.4062,29.663715,0.42484877
734,2496.2744,8.228489,115.04837,6821.7803,59.068123,0.61694574
735,2320.9197,10.591864,192.56204,13056.536,36.56431,0.29668725
736,2240.3223,8.382336,143.5365,10631.098,28.82331,0.295524
737,2184.7173,9.28378,113.43047,7873.147,65.24848,0.6040313
738,4857.382,7.5007105,164.64052,7257.9023,57.1795,0.65516675
739,4534.24,7.6836834,114.44913,8468.9375,70.73759,0.7912153
740,3622.685,8.2252035,110.32463,8653.02,70.3897,0.73548937
741,2221.5886,7.236171,153.04596,13651.198,13.430005,0.15950753
742,3107.6724,10.029785,189.64218,6763.9106,81.48094,0.6981976
743,2090.908,10.058998,135.8508,10132.863,51.532764,0.44029382
744,4016.9302,6.5564985,173.53334,10775.492,20.182219,0.26455185
745,3101.7207,9.266798,192.96606,7267.88,58.665363,0.5440841
746,3179.0083,7.4672375,183.16306,9219.422,26.128155,0.3007202
747,3031.9797,7.06239,123.77195,8686.473,33.112686,0.40295506
748,4203.2773,8.1950035,144.51901,12933.463,41.254787,0.4326524
749,4311.934,7.724594,134.26575,12719.679,38.79149,0.4315933
750,3828.5894,7.0765243,109.79385,9282.899,44.372696,0.5389019
751,3312.1626,8.868441,150.02066,7193.9385,71.353355,0.6914822
752,3351.764,9.926934,187.62177,6916.5234,84.2222,0.72916406
753,3473.7896,8.114233,192.12578,7584.1416,42.455368,0.44967523
754,2383.004,8.325122,154.66504,13403.792,22.108305,0.22823314
755,4963.655,8.6881275,161.35616,13158.078,51.107056,0.50555515
756,2853.0762,7.425554,128.35391,10394.791,29.184599,0.33778378
757,4372.71,9.823528,187.74213,5307.2334,138.67622,1.2132446
758,2659.103,10.806696,129.19458,10937.082,79.1675,0.62960464
759,3510.0698,8.271509,115.267365,8663.65,66.30427,0.68892294
760,4013.4912,8.669945,157.69968,12015.999,46.010757,0.45609668
761,2122.7292,10.51434,179.96927,11838.93,38.601894,0.3155299
762,4188.05,10.547647,104.920425,13275.166,117.61356,0.9583313
763,2351.8328,6.6402497,195.19836,9827.681,11.964959,0.15486051
764,3709.3193,7.3422437,167.98656,9844.382,29.593502,0.34640285
765,3202.551,6.047677,114.96936,9532.612,21.544998,0.30617645
766,4359.835,10.031229,139.22963,12608.896,83.56078,0.7159162
767,4957.8516,10.451259,193.379,12897.934,75.639496,0.6220051
768,3838.0486,7.5900965,111.63827,11620.275,43.122272,0.48827916
769,3457.169,9.301933,135.38614,8600.188,79.65936,0.7359995
770,2756.8328,9.105585,166.39902,8193.572,50.88487,0.48028022
771,4059.2542,6.349106,106.19575,13670.089,23.855263,0.32291302
772,2778.016,9.498334,177.40991,7172.1904,62.362873,0.5642773
773,4119.6006,9.726703,176.02737,10274.031,69.87305,0.61738765
774,2849.8586,8.554981,181.01028,10914.83,30.105028,0.30243626
775,4517.471,8.756375,118.12264,11830.254,72.34692,0.71008366
776,4650.5537,9.0809355,199.80005,6770.634,85.81243,0.812145
777,4419.7773,10.30102,120.36192,8631.244,155.00912,1.293275
778,3515.0254,10.708926,199.91702,9368.555,76.828545,0.6165816
779,4195.615,8.859318,102.01548,9089.537,104.873886,1.0173748
780,2133.1511,9.565641,105.4515,5637.87,104.68268,0.9405342
781,4716.4595,7.845936,180.70981,11441.762,36.724384,0.4022755
782,3110.2817,9.990511,155.22565,6059.3115,109.91445,0.9455424
783,4046.835,7.516621,152.88446,8363.641,44.802628,0.512265
784,3245.9922,6.439277,122.31208,10879.354,21.710266,0.28976232
785,2996.3196,9.672936,129.02623,13038.398,53.73282,0.47741398
786,2795.5918,9.427217,135.38063,8717.348,66.15491,0.60310435
787,4467.534,9.05027,101.29223,7008.465,155.50066,1.4766738
788,2683.926,9.563671,152.59843,7493.3413,68.43805,0.61501664
789,3235.482,8.797491,158.84294,9458.604,48.876404,0.47747904
790,4256.675,9.350847,149.95767,7039.8857,109.89243,1.0100217
791,3651.1802,9.518707,166.14651,10611.75,59.534367,0.53753114
792,2237.901,7.1513844,197.44255,11534.502,11.979821,0.1439707
793,2008.4379,8.36605,163.2942,13746.916,17.463144,0.17939728
794,2770.7405,8.876754,131.69638,13284.281,36.9254,0.35750732
795,4883.4746,8.120442,129.42267,8580.321,78.493324,0.8307436
796,2433.4612,6.3980403,118.00972,11412.691,15.77387,0.21188742
797,4326.703,8.737148,115.33906,10090.393,82.65336,0.8130265
798,4573.7236,10.02785,141.94751,11633.477,93.096825,0.79788613
799,2878.254,7.163004,141.15672,7454.52,33.509823,0.40205997
800,2837.5898,10.954521,172.24313,13726.471,52.590553,0.41259906
801,2420.8457,9.070143,128.62816,9529.924,49.12049,0.46543866
802,3733.9727,9.563267,189.86018,12350.135,46.426193,0.41722536
803,3290.3052,7.5346365,114.91599,12837.521,31.800955,0.3627369
804,3572.8772,6.4549675,150.1421,8546.796,24.961647,0.33234796
805,4150.6406,7.569599,194.946,12948.193,23.773273,0.26991686
806,4129.76,8.57638,199.71925,8335.428,52.16362,0.52273023
807,3026.7544,7.360816,121.03689,11738.635,28.320341,0.3306636
808,3603.0217,10.726416,158.90645,8801.593,105.9758,0.84911394
809,3856.3198,6.899916,155.90613,5941.287,45.58684,0.5678186
810,3531.9292,6.816187,126.55742,8352.824,35.269093,0.4446995
811,3800.1653,7.6132355,132.72525,11208.83,37.57294,0.4241503
812,2892.3655,10.74288,163.5427,13094.613,55.817482,0.44654316
813,4729.5107,7.3568625,115.23174,5828.016,93.47167,1.0919462
814,3346.1445,10.812829,158.24979,6888.668,129.34903,1.0281053
815,3308.082,9.701422,171.63623,11845.342,49.52273,0.43871564
816,2153.731,8.120142,130.2965,7201.123,40.96643,0.4335891
817,2412.6978,9.79302,191.53206,9734.494,40.511353,0.35552812
818,3546.6602,9.68852,146.70947,6360.89,115.21119,1.0220003
819,3268.02,7.22752,172.68564,9784.273,24.341457,0.28944835
